Model,Lookback,Sharpe_Mean,Sharpe_Std,IC_Mean,IC_Std,DA_Mean,DA_Std,MaxDD_Mean,AnnRet_Mean
cnn_transformer,12,3.9973599999999996,1.4115491925540535,0.12469999999999999,0.010654341837955082,0.53908,0.008026020184375324,0.18596,1.6316199999999998
cnn_transformer,24,5.40662,0.4836581458013501,0.14534,0.011508605475903677,0.54374,0.004174086726458837,0.14868,2.2027799999999997
cnn_transformer,48,5.1869,0.4408424151553477,0.15018,0.013916788422621078,0.5474,0.004154515615568201,0.17412,2.11526
cnn_transformer,96,4.87896,0.808450773393161,0.15616,0.012718018713620455,0.548,0.00438120987856095,0.18822,1.9918
dlinear,48,0.36804000000000003,0.6315599757742727,0.07368,0.01585881458369446,0.51902,0.005457746787823756,0.37782,0.15122
lstm,12,3.09468,0.7738194602101964,0.10184,0.029507338070385136,0.5294000000000001,0.008540199060911849,0.197,1.26632
lstm,24,2.3461,1.2843194365110262,0.09928000000000001,0.02069388798655293,0.5231,0.007467596668272887,0.2908,0.96006
lstm,48,2.9997800000000003,0.8436373581106992,0.11084000000000001,0.0199651696712049,0.52286,0.006602878160317663,0.23428,1.2285
lstm,96,2.8913599999999997,1.3248693060071999,0.09641999999999999,0.04339005646458644,0.52134,0.015013760355087627,0.24494,1.18492
lstm_transformer,12,1.82564,2.1820559818666436,0.09594,0.03199426511111014,0.51952,0.017418582031841757,0.31876,0.7462799999999999
lstm_transformer,24,2.2714,1.8567561646592157,0.09878,0.019327622719827697,0.51962,0.011678270419886679,0.25796,0.9286999999999999
lstm_transformer,48,3.01592,1.8552554640803514,0.12482,0.014697176599605784,0.52732,0.01297119886517817,0.25292,1.2336
lstm_transformer,96,3.54608,1.0769652162442391,0.10336000000000001,0.012097851048843342,0.531,0.007328369532167444,0.20676,1.4517799999999998
modern_tcn,12,2.49482,1.2765892083986923,0.10632000000000001,0.026858369272910083,0.5292199999999999,0.01089068409237915,0.31612,1.0214400000000001
modern_tcn,24,1.66764,1.3627541755577195,0.10779999999999998,0.034149890190160195,0.52588,0.015172079620144331,0.31692,0.6836
modern_tcn,48,1.88764,1.1622975600077632,0.10028,0.026837045291909466,0.52374,0.009126499876732624,0.2857,0.77498
modern_tcn,96,1.99096,0.8469839036250925,0.09084,0.02295218943804708,0.52886,0.008301084266528072,0.26017999999999997,0.81828
patchtst,12,2.16132,0.46635986855646155,0.08815999999999999,0.008655518470894743,0.5222,0.009407709604361741,0.2394,0.8859
patchtst,24,2.0185000000000004,0.9719222885601502,0.0888,0.02184364896257033,0.523,0.006252599459424873,0.2908,0.8279400000000001
patchtst,48,2.8066400000000002,0.7581403550794535,0.10096000000000001,0.02556507383130352,0.52748,0.005032096978397726,0.25758000000000003,1.15034
patchtst,96,2.3012,0.7776545666296828,0.09386,0.01586294424121827,0.5245,0.005877499468311342,0.25351999999999997,0.9450200000000001
tcn,12,1.7631000000000001,1.1960406117686806,0.0881,0.02772282453142175,0.5281399999999999,0.01325982654486853,0.27232,0.72292
tcn,24,1.7258,1.2976341915193201,0.0759,0.021602198962142716,0.52348,0.008955836086039115,0.30462,0.70772
tcn,48,0.61624,1.9657641130105108,0.06908,0.03930670426275904,0.51308,0.013101984582497412,0.38612,0.2517
tcn,96,1.8714600000000001,0.9155645187533208,0.09152,0.03652214396773552,0.5227,0.00668617977622499,0.34186,0.76872
timemixer,48,3.4798,1.1307346284606303,0.10294,0.018276159333951977,0.53252,0.009733036525154948,0.21814,1.4237
transformer,12,3.48596,1.1266344762166653,0.12374,0.014134284559184447,0.53696,0.007366342375969242,0.24661999999999998,1.42486
transformer,24,3.36376,0.9316380938969809,0.12236,0.017989524729686443,0.52942,0.003323702754459253,0.20856,1.37646
transformer,48,3.53132,0.9029104091769015,0.12879999999999997,0.008158124784532282,0.5347000000000001,0.008475553079298113,0.19813999999999998,1.44568
transformer,96,3.14024,1.459260625453863,0.1086,0.02734803466430449,0.53476,0.01153269266043276,0.2318,1.28568
xgboost,12,4.8910599999999995,0.6172285500525719,0.13416,0.00819408323121019,0.54332,0.003176790833529881,0.16512,1.99526
xgboost,24,4.50996,0.10075722306614042,0.13162000000000001,0.007602433820823444,0.5413,0.0006708203932499049,0.1915,1.84208
xgboost,48,4.18858,0.7200435000748222,0.12732000000000002,0.0054195940807407325,0.53826,0.007158770844216181,0.20407999999999998,1.7127199999999998
xgboost,96,4.425120000000001,0.043041747176433276,0.1263,0.00686112235716578,0.5407200000000001,0.0004086563348340501,0.18497999999999998,1.81042
