Model,Fee_bps,Sharpe,AnnualReturn,MaxDrawdown
CNN-Transformer,0,6.819579,2.771283,0.143179
CNN-Transformer,5,6.092069,2.476475,0.146022
CNN-Transformer,10,5.356785,2.181667,0.158737
CNN-Transformer,15,4.617198,1.886860,0.171275
CNN-Transformer,20,3.876778,1.592052,0.183638
CNN-Transformer,25,3.138924,1.297244,0.195829
CNN-Transformer,30,2.406888,1.002436,0.207850
CNN-Transformer,40,0.972166,0.412821,0.239938
CNN-Transformer,50,-0.406429,-0.176794,0.311334
Transformer,0,5.774750,2.353631,0.150041
Transformer,5,4.702963,1.920896,0.165072
Transformer,10,3.628238,1.488160,0.180025
Transformer,15,2.557286,1.055425,0.194724
Transformer,20,1.496542,0.622689,0.253162
Transformer,25,0.451993,0.189954,0.338614
Transformer,30,-0.570974,-0.242782,0.414361
Transformer,40,-2.534153,-1.108253,0.686417
Transformer,50,-4.364686,-1.973724,0.859915
LSTM-Transformer,0,5.264571,2.148420,0.151788
LSTM-Transformer,5,4.697830,1.916786,0.157737
LSTM-Transformer,10,4.125747,1.685151,0.163650
LSTM-Transformer,15,3.550479,1.453516,0.169528
LSTM-Transformer,20,2.974199,1.221882,0.175371
LSTM-Transformer,25,2.399054,0.990247,0.181178
LSTM-Transformer,30,1.827126,0.758613,0.229443
LSTM-Transformer,40,0.700717,0.295343,0.323969
LSTM-Transformer,50,-0.390869,-0.167926,0.418527
XGBoost,0,4.896308,1.999824,0.174494
XGBoost,5,4.495970,1.837680,0.182953
XGBoost,10,4.092558,1.675536,0.191915
XGBoost,15,3.687183,1.513392,0.200787
XGBoost,20,3.280962,1.351247,0.209571
XGBoost,25,2.874995,1.189103,0.222732
XGBoost,30,2.470356,1.026959,0.235909
XGBoost,40,1.669150,0.702670,0.261633
XGBoost,50,0.884939,0.378382,0.286541
DLinear,0,3.262855,1.336696,0.276143
DLinear,5,0.928372,0.381730,0.403530
DLinear,10,-1.384658,-0.573237,0.566668
DLinear,15,-3.655353,-1.528203,0.789654
DLinear,20,-5.864985,-2.483169,0.914995
DLinear,25,-7.997629,-3.438135,0.965679
DLinear,30,-10.040549,-4.393102,0.986155
DLinear,40,-13.822714,-6.303035,0.997771
DLinear,50,-17.172755,-8.212967,0.999642
TimeMixer,0,4.742503,1.937654,0.153635
TimeMixer,5,4.180308,1.708125,0.169932
TimeMixer,10,3.613778,1.478597,0.203340
TimeMixer,15,3.045028,1.249068,0.235434
TimeMixer,20,2.476172,1.019539,0.266266
TimeMixer,25,1.909289,0.790010,0.295883
TimeMixer,30,1.346378,0.560481,0.324334
TimeMixer,40,0.239921,0.101423,0.377909
TimeMixer,50,-0.829775,-0.357634,0.471940
