,Test_IC,Test_IC,Test_IC,Test_IC,Test_PIC,Test_PIC,Test_PIC,Test_PIC,Test_DA,Test_DA,Test_DA,Test_DA,Test_MSE,Test_MSE,Test_MSE,Test_MSE,Test_Sharpe,Test_Sharpe,Test_Sharpe,Test_Sharpe,Test_IR,Test_IR,Test_IR,Test_IR,Test_MaxDrawdown,Test_MaxDrawdown,Test_MaxDrawdown,Test_MaxDrawdown,Test_AnnualReturn,Test_AnnualReturn,Test_AnnualReturn,Test_AnnualReturn
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cnn_transformer,0.113062,0.043412,0.048800,0.165000,0.147250,0.045881,0.076700,0.200600,0.528425,0.020691,0.495000,0.550700,0.000115,0.000049,0.000057,0.000219,3.845038,1.592653,1.278300,5.834300,0.798113,0.425336,0.292600,1.550200,0.202437,0.123558,0.124300,0.484800,,,,
dlinear,0.026050,0.047762,-0.058800,0.078900,0.029400,0.044336,-0.063900,0.068200,0.512775,0.015805,0.482200,0.531500,0.000128,0.000048,0.000071,0.000230,-1.260037,2.152023,-5.378200,0.802100,0.191150,0.340387,-0.419500,0.553400,0.458675,0.155114,0.281400,0.763500,,,,
lstm,0.079875,0.037102,0.019500,0.123300,0.089163,0.048793,0.019100,0.156000,0.512675,0.016718,0.494100,0.537900,0.000115,0.000048,0.000058,0.000218,2.262800,1.645365,0.193500,4.639100,0.637675,0.277387,0.261000,1.090000,0.249200,0.091310,0.119900,0.361400,,,,
lstm_transformer,0.082388,0.029471,0.045400,0.121200,0.108775,0.036820,0.056200,0.150300,0.513700,0.024791,0.460300,0.545200,0.000116,0.000048,0.000058,0.000219,2.309525,2.164221,-2.032400,4.542400,0.679650,0.395214,0.126500,1.342300,0.241300,0.112735,0.092000,0.437800,,,,
modern_tcn,0.074100,0.034855,0.014500,0.128500,0.090063,0.049535,0.015000,0.156900,0.517462,0.017897,0.495900,0.552500,0.000116,0.000048,0.000059,0.000218,0.802438,1.852076,-2.304300,3.198800,0.495025,0.307134,-0.051200,0.881500,0.311600,0.153260,0.161000,0.537800,,,,
patchtst,0.095113,0.049357,0.003600,0.166700,0.122163,0.052734,0.037000,0.217700,0.521212,0.014497,0.499500,0.547000,0.000115,0.000049,0.000058,0.000222,2.686562,1.719018,0.254900,5.992800,0.712425,0.370674,0.058700,1.190900,0.207662,0.069846,0.123300,0.345800,,,,
tcn,0.052475,0.040298,-0.004300,0.100400,0.073262,0.038706,0.006500,0.117800,0.509700,0.022530,0.477600,0.546100,0.000118,0.000046,0.000059,0.000220,0.802362,1.991622,-1.338600,3.673100,0.300125,0.309130,-0.059200,0.790800,0.320925,0.118392,0.177300,0.477400,,,,
timemixer,0.094075,0.034565,0.015300,0.124300,0.114500,0.049857,0.006900,0.172400,0.521100,0.011158,0.498600,0.533300,0.000115,0.000047,0.000058,0.000215,3.193213,1.505147,-0.011300,4.908000,0.721838,0.269474,0.220500,1.104600,0.227212,0.122910,0.113300,0.496700,,,,
transformer,0.091625,0.037658,0.021800,0.141000,0.098462,0.041824,0.039800,0.144000,0.526150,0.015711,0.497700,0.546100,0.000121,0.000048,0.000064,0.000224,2.605950,1.722086,0.173000,4.963800,0.698725,0.281579,0.247900,1.048800,0.224837,0.106360,0.136700,0.453600,,,,
xgboost,0.002250,0.006364,0.000000,0.018000,0.001613,0.004561,0.000000,0.012900,0.494750,0.020216,0.463900,0.532400,0.000116,0.000049,0.000059,0.000221,-0.785062,1.508613,-2.427100,2.327700,0.027062,0.076544,0.000000,0.216500,0.428212,0.118041,0.267100,0.645300,,,,
