Model,Seeds,N_Periods,Flips_Avg,Turnover_Mean,Turnover_Std,Avg_Hold_Periods,Avg_Hold_Hours
XGBoost,5,2080,138.800000,0.066763,0.018005,16.473750,65.895000
LSTM-Transformer,5,2080,164.200000,0.078980,0.038679,27.258764,109.035055
TimeMixer,5,2080,229.200000,0.110245,0.035003,10.281682,41.126729
LSTM,5,2080,250.800000,0.120635,0.022900,8.573029,34.292117
CNN-Transformer,5,2080,372.400000,0.179125,0.025444,5.672616,22.690463
Transformer,5,2080,473.800000,0.227898,0.026762,4.437033,17.748133
TCN,5,2080,555.000000,0.266955,0.045771,3.841650,15.366598
ModernTCN,5,2080,557.600000,0.268206,0.055774,3.899772,15.599089
PatchTST,5,2080,561.400000,0.270034,0.022514,3.724588,14.898351
DLinear,5,2080,955.400000,0.459548,0.005616,2.176311,8.705244
